uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:0FA4wrjDJvJTTU8AepZTup,2023-02-25,0.686,0.897,11,0,0.0386,0.0103,0.103,0.153,0.355,129.975,163139.0,4,80.0
spotify:track:2eN0rxTtgxKkmVCNgizayr,2023-02-25,0.825,0.718,1,1,0.0518,0.0732,0.000157,0.142,0.919,139.983,185001.0,4,0.0
spotify:track:52NGJPcLUzQq5w7uv4e5gf,2023-02-25,0.843,0.669,1,0,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,238253.0,4,0.0
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-02-25,0.526,0.606,5,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,4,88.0
spotify:track:7oLKoGzQVwjZ91AzCn560T,2023-02-25,0.956,0.515,11,0,0.337,0.305,0.0,0.156,0.69,119.937,122070.0,4,76.0
spotify:track:5BbdKBZO0TH0GhfxUfyhL9,2023-02-25,0.877,0.517,2,0,0.0706,0.217,0.0,0.143,0.255,119.996,162053.0,4,80.0
spotify:track:2fpTRcMLt4aKlqULOwuXUP,2023-02-25,0.744,0.647,7,0,0.111,0.0204,0.000116,0.156,0.096,141.929,229800.0,4,39.0
spotify:track:2ehLKvUsJq3EUAPpvT5GOM,2023-02-25,0.509,0.78,1,1,0.347,0.282,0.0,0.111,0.555,175.276,180359.0,4,36.0
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2023-02-25,0.561,0.52,11,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360.0,3,89.0
spotify:track:1iQxvF3AQ7Bs3RTBuXqZOA,2023-02-25,0.977,0.379,1,1,0.255,0.019,0.0,0.09,0.506,126.961,151248.0,4,51.0
spotify:track:5ObUmPrfvyC7IEOe3n8Z3J,2023-02-25,0.886,0.64,6,1,0.134,0.128,6.69e-06,0.262,0.653,123.977,139637.0,4,0.0
spotify:track:2Qr5PWUt8XycAAv338LicY,2023-02-25,0.582,0.571,6,0,0.0566,0.201,0.0,0.358,0.4,143.892,210853.0,4,0.0
spotify:track:5ht9obvnnWeW4eoRtPAoQD,2023-02-25,0.779,0.684,8,1,0.108,0.181,0.0,0.0691,0.526,124.034,174240.0,4,74.0
spotify:track:4WuOWVnAqvEQxgSRrspBgt,2023-02-25,0.671,0.658,2,1,0.309,0.189,8.66e-05,0.147,0.257,87.933,207307.0,4,82.0
spotify:track:1T4k0sw0HldDg004Kw4Oct,2023-02-25,0.462,0.251,4,0,0.159,0.414,0.0,0.201,0.137,89.705,167977.0,3,72.0
spotify:track:6i5wxOzIv91jvGwi4gofGn,2023-02-25,0.729,0.724,11,0,0.5,0.563,0.0,0.517,0.485,94.24,222740.0,4,6.0
spotify:track:4MUlNqSrMeFAHA6VpJKMo8,2023-02-25,0.513,0.495,1,1,0.45,0.00642,0.0,0.3,0.105,150.035,179533.0,4,72.0
spotify:track:4FyesJzVpA39hbYvcseO2d,2023-02-25,0.486,0.545,11,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891.0,4,88.0
spotify:track:6UN73IYd0hZxLi8wFPMQij,2023-02-25,0.954,0.516,6,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,139560.0,4,87.0
spotify:track:68Dni7IE4VyPkTOH9mRWHr,2023-02-25,0.69,0.521,10,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799.0,4,85.0
spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,2023-02-25,0.938,0.606,6,0,0.419,0.117,0.0,0.528,0.706,121.108,123673.0,4,76.0
spotify:track:0yUaLqhsVsguBpoOPL4cO7,2023-02-25,0.768,0.74,0,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,129362.0,4,80.0
spotify:track:2i2qDe3dnTl6maUE31FO7c,2023-02-25,0.898,0.64,5,0,0.255,0.0212,0.0,0.0919,0.68,149.988,153600.0,4,75.0
spotify:track:0LHbGkO5BhmwzeDT8MDdpe,2023-02-25,0.598,0.511,10,1,0.352,0.279,0.0,0.213,0.309,162.019,165972.0,4,6.0
spotify:track:0T0vseuNB4KC8opkrCLNbc,2023-02-25,0.852,0.487,2,1,0.204,0.00424,2.18e-06,0.201,0.256,120.013,261825.0,4,69.0
spotify:track:0UMqDSXk4xvoCNRrIEPf7T,2023-02-25,0.818,0.526,1,1,0.277,0.0103,0.0,0.146,0.531,125.061,214594.0,4,72.0
spotify:track:5xsr3QA0kvK4VFADzbUhUt,2023-02-25,0.754,0.814,10,0,0.237,0.102,0.0,0.204,0.525,143.993,106667.0,4,3.0
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2023-02-25,0.684,0.671,7,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920.0,4,82.0
spotify:track:5JS1gz9zP4GTy0LZYvSeUK,2023-02-25,0.884,0.423,6,0,0.275,0.115,0.0,0.0895,0.259,95.753,159973.0,4,71.0
spotify:track:1a7tOEheXeaSNathZW4Gzk,2023-02-25,0.823,0.636,11,0,0.0612,0.0168,0.0,0.108,0.5,151.978,205893.0,4,71.0
spotify:track:3RKjTYlQrtLXCq5ncswBPp,2023-02-25,0.912,0.507,2,1,0.0587,0.579,0.0,0.167,0.725,134.978,115556.0,4,82.0
spotify:track:7CpXFEjLntpr4GdOhTtFEv,2023-02-25,0.756,0.916,1,1,0.207,0.0351,0.0,0.241,0.458,149.961,169693.0,4,70.0
spotify:track:3084aAzars6DR26nCWO9Ep,2023-02-25,0.87,0.506,2,1,0.432,0.0901,0.0,0.145,0.347,137.921,187826.0,4,72.0
spotify:track:2UQ2oUbHiB8wWYCE42JX0k,2023-02-25,0.493,0.613,1,1,0.414,0.0393,0.0,0.128,0.373,156.104,197692.0,4,73.0
spotify:track:1CJ8e0zc8uvAmkqdeXrq4u,2023-02-25,0.747,0.701,6,0,0.0338,0.122,0.0,0.323,0.149,104.995,162305.0,4,67.0
spotify:track:3QHGfxhjexLaMKGHXagfRs,2023-02-25,0.696,0.708,9,1,0.0438,0.000113,0.0,0.444,0.287,142.026,168161.0,4,68.0
spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,2023-02-25,0.855,0.603,0,1,0.284,0.0392,0.0,0.105,0.494,129.976,206769.0,4,70.0
spotify:track:5c2IvJeaFx4m2DmOR1iryD,2023-02-25,0.765,0.882,1,1,0.414,0.0432,0.0,0.353,0.439,166.784,140573.0,4,66.0
spotify:track:7k5lDslyLbcykzUOPGEdKR,2023-02-25,0.799,0.733,2,1,0.216,0.172,1.7e-05,0.332,0.753,146.051,185280.0,4,66.0
spotify:track:53acd3PVcgGCux58YABBr5,2023-02-25,0.94,0.761,8,1,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,195254.0,4,66.0
spotify:track:6aGpM4DXts4pdRhVKbRYuk,2023-02-25,0.763,0.726,1,1,0.109,0.00377,0.0,0.0719,0.327,99.042,131053.0,4,71.0
spotify:track:21wkixaulehrFctAvEhvQl,2023-02-25,0.611,0.554,8,1,0.064,0.0339,0.00418,0.183,0.233,95.375,191758.0,4,65.0
spotify:track:6IyoLWzljeR3ldQo4KWHT6,2023-02-25,0.767,0.628,4,0,0.242,0.21,8.79e-06,0.275,0.798,128.07,150242.0,4,81.0
spotify:track:4lxTmHPgoRWwM9QisWobJL,2023-02-25,0.894,0.633,10,0,0.298,0.0369,0.0,0.178,0.578,145.11,145655.0,4,64.0
spotify:track:4ZyivnzrvDWRjihgqxvXK8,2023-02-25,0.857,0.524,1,1,0.279,0.0255,0.0,0.336,0.379,137.943,170435.0,4,66.0
spotify:track:7hrcHfHWaLhooHzGltlCYB,2023-02-25,0.511,0.541,10,0,0.421,0.0769,0.0,0.1,0.248,101.228,235711.0,3,62.0
spotify:track:1hnNjI1da0xqGhR81JFVdx,2023-02-25,0.366,0.699,2,1,0.0564,0.0135,0.0,0.135,0.062,97.201,169500.0,4,54.0
spotify:track:3fNMgjG8yXaSam46swhz7w,2023-02-25,0.679,0.769,0,1,0.24,0.0537,0.0,0.309,0.424,130.094,177231.0,4,75.0
spotify:track:7E68rHH6CrKbBYPfpiCLiQ,2023-02-25,0.609,0.503,8,0,0.393,0.217,2.22e-06,0.121,0.502,168.363,200000.0,4,64.0
spotify:track:12Us8e6NFesdkXKf4StU1I,2023-02-25,0.603,0.667,10,0,0.367,0.0861,0.0,0.0745,0.655,141.561,186697.0,4,74.0
